"epoch","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm__MAX","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step__MIN","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step__MAX","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm__MIN","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm__MAX"
"67","41650.93103448276","41317","41927","0.2503918373379214","0.19484463334083557","0.2960290312767029","41616.76470588235","41347","41939","0.28131261555587544","0.2502560317516327","0.3170068562030792"
"68","42273.78571428572","41979","42561","0.25100033623831614","0.18960997462272644","0.2912510633468628","42250.878787878784","41945","42549","0.2859907272187146","0.23656155169010162","0.33082589507102966"
"69","42872.851851851854","42575","43179","0.2459093216392729","0.20324888825416565","0.28299257159233093","42904.48148148148","42577","43187","0.28624805587309377","0.24624952673912048","0.3198464512825012"
"70","43481.07407407407","43199","43761","0.2564483919629344","0.20998159050941467","0.3086547553539276","43519.19047619047","43211","43779","0.290013955107757","0.24109727144241333","0.3230159282684326"
"71","44156.58823529412","43823","44431","0.2494908636983703","0.21059615910053253","0.2947602868080139","44105.84848484849","43839","44405","0.27719311596769275","0.2284790724515915","0.31399813294410706"
"72","44729","44453","45057","0.25080037919374615","0.21059204638004303","0.3093128800392151","44795.705882352944","44495","45067","0.28873203607166514","0.21683579683303833","0.33801040053367615"
"73","45326.37142857143","45077","45649","0.2501454906804221","0.21669894456863403","0.3059408664703369","45366.2","45073","45693","0.28910174667835237","0.2441437691450119","0.33249518275260925"
"74","45999.52631578947","45711","46275","0.24831641034076088","0.22353018820285797","0.29880768060684204","45970.2","45703","46315","0.2914704850741795","0.25417789816856384","0.3423987329006195"
"75","46652.28","46345","46931","0.24853605329990386","0.19999602437019348","0.29721030592918396","46640.692307692305","46341","46945","0.2938260153318063","0.24559888243675232","0.3442380428314209"
"76","47249.36842105263","46957","47563","0.25494083409246643","0.20201711356639862","0.31624943017959595","47247.07142857143","46959","47555","0.296370478613036","0.25888553261756897","0.34238702058792114"
"77","47859.48484848485","47585","48191","0.2535387404037244","0.22274382412433624","0.2853497266769409","47873.27777777778","47585","48195","0.2859005861812168","0.2301178276538849","0.31862252950668335"
"78","48519.086956521736","48267","48811","0.2534334070008734","0.21013545989990234","0.310830295085907","48480.6","48211","48811","0.2853214417894681","0.23686417937278748","0.33458900451660156"
"79","49147.3","48839","49447","0.25454059094190595","0.2024078518152237","0.30604496598243713","49099.416666666664","48839","49449","0.2844587800403436","0.2511442303657532","0.31764665246009827"
"80","49751.57894736842","49473","50069","0.25588071895273107","0.2113538384437561","0.3016720116138458","49744.555555555555","49469","50007","0.28751419650183785","0.24159783124923706","0.3304120600223541"
"81","50405","50085","50703","0.2499741766601801","0.20298875868320465","0.302297979593277","50417","50137","50697","0.28561615903635285","0.22932124137878418","0.3269445300102234"
"82","51012.93939393939","50755","51287","0.2541607695095467","0.2095855325460434","0.3061818778514862","51037.06451612903","50723","51321","0.29976791527963453","0.2428516447544098","0.3503470718860626"
"83","51662.357142857145","51357","51909","0.2529399474816663","0.21439267694950104","0.3173312544822693","51653.583333333336","51347","51955","0.2876734354843696","0.24985285103321075","0.336254745721817"
"84","52308.2972972973","51965","52581","0.2543084999999484","0.19974562525749207","0.2986031770706177","52303.05128205128","51985","52563","0.2920775428796426","0.2503941059112549","0.33401790261268616"
