"epoch","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step__MIN","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step__MAX","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm__MIN","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm__MAX"
"129","80440","80129","80751","5.489259224671584","5.48518705368042","5.498398303985596","80440","80129","80751","4.8724314616276665","4.866347789764404","4.8817315101623535"
"130","81066","80755","81377","5.480531587050511","5.477355480194092","5.487157344818115","81066","80755","81377","4.860509753227234","4.857486248016357","4.869778633117676"
"131","81692","81381","82003","5.479066993945684","5.476770877838135","5.482908248901367","81692","81381","82003","4.8507863986186495","4.846400260925293","4.86083459854126"
"132","82318","82007","82629","5.47536036448601","5.472201824188232","5.481675624847412","82318","82007","82629","4.843550669841277","4.83951997756958","4.846860408782959"
"133","82944","82633","83255","5.467790013704544","5.465178966522217","5.474701404571533","82944","82633","83255","4.832791554622161","4.825735092163086","4.84185791015625"
"134","83570","83259","83881","5.463386532587883","5.459931373596191","5.46834659576416","83570","83259","83881","4.81869908173879","4.81552791595459","4.825714588165283"
"135","84196","83885","84507","5.461487030371641","5.457571029663086","5.468224048614502","84196","83885","84507","4.81027011687939","4.8037238121032715","4.81840705871582"
"136","84822","84511","85133","5.456267347702613","5.453037261962891","5.4601593017578125","84822","84511","85133","4.798732525263077","4.79300594329834","4.80951452255249"
"137","85448","85137","85759","5.4524684227429905","5.449473857879639","5.458758354187012","85448","85137","85759","4.788642863432567","4.783987045288086","4.79914665222168"
"138","86074","85763","86385","5.444072727973644","5.441124439239502","5.452950477600098","86074","85763","86385","4.775967084444487","4.770333766937256","4.78504753112793"
"139","86700","86389","87011","5.438717325528462","5.435843467712402","5.443831443786621","86700","86389","87011","4.763284369921073","4.7577972412109375","4.776018142700195"
"140","87326","87015","87637","5.425521606054062","5.420022964477539","5.43595552444458","87326","87015","87637","4.756160670366043","4.752727508544922","4.760652542114258"
