"Step","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - Train/loss","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - Train/loss__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - Train/loss__MAX","mobilenet_Task Scheduler_False_Saturday_15_March_2025_11h_33m_20s - Train/loss","mobilenet_Task Scheduler_False_Saturday_15_March_2025_11h_33m_20s - Train/loss__MIN","mobilenet_Task Scheduler_False_Saturday_15_March_2025_11h_33m_20s - Train/loss__MAX"
"1629","","","","2.867827892303467","2.867827892303467","2.867827892303467"
"1642","2.9050753116607666","2.9050753116607666","2.9050753116607666","","",""
"1657","","","","2.436314821243286","2.436314821243286","2.436314821243286"
"1659","","","","2.665391206741333","2.665391206741333","2.665391206741333"
"1662","2.849855899810791","2.849855899810791","2.849855899810791","","",""
"1666","2.494493007659912","2.494493007659912","2.494493007659912","","",""
"1669","2.6043741703033447","2.6043741703033447","2.6043741703033447","","",""
"1671","2.879338026046753","2.879338026046753","2.879338026046753","2.8297595977783203","2.8297595977783203","2.8297595977783203"
"1672","","","","2.641857147216797","2.641857147216797","2.641857147216797"
"1676","","","","2.785159111022949","2.785159111022949","2.785159111022949"
"1681","2.578763723373413","2.578763723373413","2.578763723373413","","",""
"1683","","","","2.6628589630126953","2.6628589630126953","2.6628589630126953"
"1692","2.9138834476470947","2.9138834476470947","2.9138834476470947","","",""
"1696","2.830113649368286","2.830113649368286","2.830113649368286","","",""
"1699","","","","2.711338520050049","2.711338520050049","2.711338520050049"
"1709","","","","2.8437042236328125","2.8437042236328125","2.8437042236328125"
"1713","","","","2.691756248474121","2.691756248474121","2.691756248474121"
"1718","2.8793344497680664","2.8793344497680664","2.8793344497680664","","",""
"1721","","","","2.887969493865967","2.887969493865967","2.887969493865967"
"1724","2.838944435119629","2.838944435119629","2.838944435119629","","",""
"1725","2.754685401916504","2.754685401916504","2.754685401916504","","",""
"1727","","","","2.5162220001220703","2.5162220001220703","2.5162220001220703"
"1733","2.755857229232788","2.755857229232788","2.755857229232788","","",""
"1739","","","","2.5930378437042236","2.5930378437042236","2.5930378437042236"
"1743","","","","2.732154369354248","2.732154369354248","2.732154369354248"
"1747","","","","2.8246936798095703","2.8246936798095703","2.8246936798095703"
"1751","2.9607338905334473","2.9607338905334473","2.9607338905334473","","",""
"1752","2.765354871749878","2.765354871749878","2.765354871749878","","",""
"1754","","","","2.4607908725738525","2.4607908725738525","2.4607908725738525"
"1771","","","","2.7447259426116943","2.7447259426116943","2.7447259426116943"
"1776","","","","2.5481770038604736","2.5481770038604736","2.5481770038604736"
"1777","2.900463342666626","2.900463342666626","2.900463342666626","","",""
"1778","2.4034602642059326","2.4034602642059326","2.4034602642059326","2.7584590911865234","2.7584590911865234","2.7584590911865234"
"1782","","","","2.622814655303955","2.622814655303955","2.622814655303955"
"1791","2.721390962600708","2.721390962600708","2.721390962600708","","",""
"1797","2.695406436920166","2.695406436920166","2.695406436920166","","",""
"1798","2.9458467960357666","2.9458467960357666","2.9458467960357666","","",""
"1808","","","","2.5206258296966553","2.5206258296966553","2.5206258296966553"
"1810","2.6730000972747803","2.6730000972747803","2.6730000972747803","","",""
"1811","","","","2.706282377243042","2.706282377243042","2.706282377243042"
"1813","2.814758777618408","2.814758777618408","2.814758777618408","","",""
"1817","2.5924313068389893","2.5924313068389893","2.5924313068389893","","",""
"1820","","","","2.6488962173461914","2.6488962173461914","2.6488962173461914"
"1822","","","","2.4641003608703613","2.4641003608703613","2.4641003608703613"
"1830","2.5924923419952393","2.5924923419952393","2.5924923419952393","","",""
"1835","","","","2.802506446838379","2.802506446838379","2.802506446838379"
"1838","","","","2.8512449264526367","2.8512449264526367","2.8512449264526367"
"1841","","","","2.7722668647766113","2.7722668647766113","2.7722668647766113"
"1845","2.7466282844543457","2.7466282844543457","2.7466282844543457","2.7349367141723633","2.7349367141723633","2.7349367141723633"
"1852","","","","2.9374148845672607","2.9374148845672607","2.9374148845672607"
"1854","","","","2.5428130626678467","2.5428130626678467","2.5428130626678467"
"1857","2.8333723545074463","2.8333723545074463","2.8333723545074463","","",""
"1858","","","","2.68900465965271","2.68900465965271","2.68900465965271"
"1875","2.712848424911499","2.712848424911499","2.712848424911499","","",""
"1881","2.684696674346924","2.684696674346924","2.684696674346924","2.5222408771514893","2.5222408771514893","2.5222408771514893"
"1889","2.6040687561035156","2.6040687561035156","2.6040687561035156","2.5750246047973633","2.5750246047973633","2.5750246047973633"
"1891","2.533007860183716","2.533007860183716","2.533007860183716","","",""
"1895","","","","2.634096384048462","2.634096384048462","2.634096384048462"
"1915","2.495248794555664","2.495248794555664","2.495248794555664","","",""
"1922","2.4891512393951416","2.4891512393951416","2.4891512393951416","","",""
"1924","2.347583770751953","2.347583770751953","2.347583770751953","","",""
"1926","2.983401298522949","2.983401298522949","2.983401298522949","","",""
"1927","2.6490635871887207","2.6490635871887207","2.6490635871887207","","",""
"1958","","","","2.4768733978271484","2.4768733978271484","2.4768733978271484"
"1963","","","","2.939080238342285","2.939080238342285","2.939080238342285"
"1973","2.291329860687256","2.291329860687256","2.291329860687256","","",""
"1979","2.6389031410217285","2.6389031410217285","2.6389031410217285","","",""
"1985","2.43876051902771","2.43876051902771","2.43876051902771","","",""
"1987","","","","2.6724932193756104","2.6724932193756104","2.6724932193756104"
"1990","","","","2.738819122314453","2.738819122314453","2.738819122314453"
"1991","2.719897508621216","2.719897508621216","2.719897508621216","","",""
