"epoch","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MAX","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/Accuracy","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/Accuracy__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/Accuracy__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/Accuracy","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/Accuracy__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/Accuracy__MAX"
"131","82264","82264","82264","0.7562499642372131","0.7562499642372131","0.7562499642372131","82264","82264","82264","0.7270249724388123","0.7270249724388123","0.7270249724388123"
"132","82892","82892","82892","0.7607749700546265","0.7607749700546265","0.7607749700546265","82892","82892","82892","0.7357249855995178","0.7357249855995178","0.7357249855995178"
"133","83520","83520","83520","0.7633999586105347","0.7633999586105347","0.7633999586105347","83520","83520","83520","0.7298749685287476","0.7298749685287476","0.7298749685287476"
"134","84148","84148","84148","0.7679499983787537","0.7679499983787537","0.7679499983787537","84148","84148","84148","0.7359499931335449","0.7359499931335449","0.7359499931335449"
"135","84776","84776","84776","0.7636500000953674","0.7636500000953674","0.7636500000953674","84776","84776","84776","0.7368249893188477","0.7368249893188477","0.7368249893188477"
"136","85404","85404","85404","0.7653999924659729","0.7653999924659729","0.7653999924659729","85404","85404","85404","0.739799976348877","0.739799976348877","0.739799976348877"
"137","86032","86032","86032","0.7700499892234802","0.7700499892234802","0.7700499892234802","86032","86032","86032","0.7439249753952026","0.7439249753952026","0.7439249753952026"
"138","86660","86660","86660","0.7680000066757202","0.7680000066757202","0.7680000066757202","86660","86660","86660","0.7434249520301819","0.7434249520301819","0.7434249520301819"
"139","87288","87288","87288","0.7736999988555908","0.7736999988555908","0.7736999988555908","87288","87288","87288","0.743149995803833","0.743149995803833","0.743149995803833"
"140","87916","87916","87916","0.7763499617576599","0.7763499617576599","0.7763499617576599","87916","87916","87916","0.7458499670028687","0.7458499670028687","0.7458499670028687"
"141","88544","88544","88544","0.782925009727478","0.782925009727478","0.782925009727478","88544","88544","88544","0.7513249516487122","0.7513249516487122","0.7513249516487122"
"142","89172","89172","89172","0.7820000052452087","0.7820000052452087","0.7820000052452087","89172","89172","89172","0.7558749914169312","0.7558749914169312","0.7558749914169312"
"143","89800","89800","89800","0.7815499901771545","0.7815499901771545","0.7815499901771545","89800","89800","89800","0.7544999718666077","0.7544999718666077","0.7544999718666077"
"144","90428","90428","90428","0.7826249599456787","0.7826249599456787","0.7826249599456787","90428","90428","90428","0.7571499943733215","0.7571499943733215","0.7571499943733215"
"145","91056","91056","91056","0.783549964427948","0.783549964427948","0.783549964427948","91056","91056","91056","0.7651249766349792","0.7651249766349792","0.7651249766349792"
"146","91684","91684","91684","0.7847999930381775","0.7847999930381775","0.7847999930381775","91684","91684","91684","0.7590000033378601","0.7590000033378601","0.7590000033378601"
"147","92312","92312","92312","0.7924000024795532","0.7924000024795532","0.7924000024795532","92312","92312","92312","0.7624749541282654","0.7624749541282654","0.7624749541282654"
"148","92940","92940","92940","0.7963999509811401","0.7963999509811401","0.7963999509811401","92940","92940","92940","0.7627750039100647","0.7627750039100647","0.7627750039100647"
"149","93568","93568","93568","0.7899749875068665","0.7899749875068665","0.7899749875068665","93568","93568","93568","0.7699999809265137","0.7699999809265137","0.7699999809265137"
"150","94196","94196","94196","0.7913749814033508","0.7913749814033508","0.7913749814033508","94196","94196","94196","0.7754499912261963","0.7754499912261963","0.7754499912261963"
"151","94824","94824","94824","0.8026999831199646","0.8026999831199646","0.8026999831199646","94824","94824","94824","0.7719749808311462","0.7719749808311462","0.7719749808311462"
