"epoch","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MAX","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy__MAX"
"64","20157","20157","20157","0.9552499651908875","0.9552499651908875","0.9552499651908875","20094","20094","20094","0.95374995470047","0.95374995470047","0.95374995470047"
"65","20472","20472","20472","0.9588249921798706","0.9588249921798706","0.9588249921798706","20408","20408","20408","0.9575249552726746","0.9575249552726746","0.9575249552726746"
"66","20787","20787","20787","0.9614499807357788","0.9614499807357788","0.9614499807357788","20722","20722","20722","0.9577499628067017","0.9577499628067017","0.9577499628067017"
"67","21102","21102","21102","0.9678249955177307","0.9678249955177307","0.9678249955177307","21036","21036","21036","0.9573249816894531","0.9573249816894531","0.9573249816894531"
"68","21417","21417","21417","0.965624988079071","0.965624988079071","0.965624988079071","21350","21350","21350","0.9601500034332275","0.9601500034332275","0.9601500034332275"
"69","21732","21732","21732","0.9648249745368958","0.9648249745368958","0.9648249745368958","21664","21664","21664","0.9602999687194824","0.9602999687194824","0.9602999687194824"
"70","22047","22047","22047","0.9690749645233154","0.9690749645233154","0.9690749645233154","21978","21978","21978","0.9641249775886536","0.9641249775886536","0.9641249775886536"
"71","22362","22362","22362","0.9698999524116516","0.9698999524116516","0.9698999524116516","22292","22292","22292","0.9634499549865723","0.9634499549865723","0.9634499549865723"
"72","22677","22677","22677","0.9703249931335449","0.9703249931335449","0.9703249931335449","22606","22606","22606","0.9664749503135681","0.9664749503135681","0.9664749503135681"
"73","22992","22992","22992","0.971299946308136","0.971299946308136","0.971299946308136","22920","22920","22920","0.9688999652862549","0.9688999652862549","0.9688999652862549"
"74","23307","23307","23307","0.9732499718666077","0.9732499718666077","0.9732499718666077","23234","23234","23234","0.9673749804496765","0.9673749804496765","0.9673749804496765"
"75","23622","23622","23622","0.976699948310852","0.976699948310852","0.976699948310852","23548","23548","23548","0.9687999486923218","0.9687999486923218","0.9687999486923218"
"76","23937","23937","23937","0.9773749709129333","0.9773749709129333","0.9773749709129333","23862","23862","23862","0.9706499576568604","0.9706499576568604","0.9706499576568604"
