"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MAX"
"59","18582","18582","18582","0.6463499665260315","0.6463499665260315","0.6463499665260315","18582","18582","18582","0.8925249576568604","0.8925249576568604","0.8925249576568604"
"60","18897","18897","18897","0.6470999717712402","0.6470999717712402","0.6470999717712402","18897","18897","18897","0.8976500034332275","0.8976500034332275","0.8976500034332275"
"61","19212","19212","19212","0.6447749733924866","0.6447749733924866","0.6447749733924866","19212","19212","19212","0.9009499549865723","0.9009499549865723","0.9009499549865723"
"62","19527","19527","19527","0.6547249555587769","0.6547249555587769","0.6547249555587769","19527","19527","19527","0.9012500047683716","0.9012500047683716","0.9012500047683716"
"63","19842","19842","19842","0.6543499827384949","0.6543499827384949","0.6543499827384949","19842","19842","19842","0.9070499539375305","0.9070499539375305","0.9070499539375305"
"64","20157","20157","20157","0.6522749662399292","0.6522749662399292","0.6522749662399292","20157","20157","20157","0.904699981212616","0.904699981212616","0.904699981212616"
"65","20472","20472","20472","0.6582249999046326","0.6582249999046326","0.6582249999046326","20472","20472","20472","0.9090999960899353","0.9090999960899353","0.9090999960899353"
"66","20787","20787","20787","0.65687495470047","0.65687495470047","0.65687495470047","20787","20787","20787","0.9139750003814697","0.9139750003814697","0.9139750003814697"
"67","21102","21102","21102","0.6588249802589417","0.6588249802589417","0.6588249802589417","21102","21102","21102","0.9127249717712402","0.9127249717712402","0.9127249717712402"
"68","21417","21417","21417","0.6607750058174133","0.6607750058174133","0.6607750058174133","21417","21417","21417","0.9161499738693237","0.9161499738693237","0.9161499738693237"
"69","21732","21732","21732","0.6641249656677246","0.6641249656677246","0.6641249656677246","21732","21732","21732","0.9163499474525452","0.9163499474525452","0.9163499474525452"
"70","22047","22047","22047","0.6607750058174133","0.6607750058174133","0.6607750058174133","22047","22047","22047","0.9230249524116516","0.9230249524116516","0.9230249524116516"
"71","22362","22362","22362","0.6584999561309814","0.6584999561309814","0.6584999561309814","22362","22362","22362","0.920324981212616","0.920324981212616","0.920324981212616"
"72","22677","22677","22677","0.6666249632835388","0.6666249632835388","0.6666249632835388","22677","22677","22677","0.9187249541282654","0.9187249541282654","0.9187249541282654"
"73","22992","22992","22992","0.6672999858856201","0.6672999858856201","0.6672999858856201","22992","22992","22992","0.9230999946594238","0.9230999946594238","0.9230999946594238"
"74","23307","23307","23307","0.6720499992370605","0.6720499992370605","0.6720499992370605","23307","23307","23307","0.9264749884605408","0.9264749884605408","0.9264749884605408"
"75","23622","23622","23622","0.6679250001907349","0.6679250001907349","0.6679250001907349","23622","23622","23622","0.926099956035614","0.926099956035614","0.926099956035614"
