"epoch","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step__MAX","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate__MAX"
"149","46785","46785","46785","0.02526179460290615","0.02526179460290615","0.02526179460290615"
"150","47099","47099","47099","0.025000000000000005","0.025000000000000005","0.025000000000000005"
"151","47413","47413","47413","0.02473820539709386","0.02473820539709386","0.02473820539709386"
"152","47727","47727","47727","0.024476439502916086","0.024476439502916086","0.024476439502916086"
"153","48041","48041","48041","0.024214731023046797","0.024214731023046797","0.024214731023046797"
"154","48355","48355","48355","0.02395310865677001","0.02395310865677001","0.02395310865677001"
"155","48669","48669","48669","0.023691601093926404","0.023691601093926404","0.023691601093926404"
"156","48983","48983","48983","0.02343023701176717","0.02343023701176717","0.02343023701176717"
"157","49297","49297","49297","0.02316904507180921","0.02316904507180921","0.02316904507180921"
"158","49611","49611","49611","0.02290805391669211","0.02290805391669211","0.02290805391669211"
"159","49925","49925","49925","0.022647292167037137","0.022647292167037137","0.022647292167037137"
"160","50239","50239","50239","0.022386788418308663","0.022386788418308663","0.022386788418308663"
"161","50553","50553","50553","0.022126571237678333","0.022126571237678333","0.022126571237678333"
"162","50867","50867","50867","0.02186666916089239","0.02186666916089239","0.02186666916089239"
"163","51181","51181","51181","0.021607110689142388","0.021607110689142388","0.021607110689142388"
"164","51495","51495","51495","0.021347924285939714","0.021347924285939714","0.021347924285939714"
"165","51809","51809","51809","0.021089138373994232","0.021089138373994232","0.021089138373994232"
"166","52123","52123","52123","0.020830781332097436","0.020830781332097436","0.020830781332097436"
"167","52437","52437","52437","0.020572881492010416","0.020572881492010416","0.020572881492010416"
"168","52751","52751","52751","0.020315467135356882","0.020315467135356882","0.020315467135356882"
"169","53065","53065","53065","0.020058566490521842","0.020058566490521842","0.020058566490521842"
"170","53379","53379","53379","0.01980220772955601","0.01980220772955601","0.01980220772955601"
"171","53693","53693","53693","0.019546418965086434","0.019546418965086434","0.019546418965086434"
"172","54007","54007","54007","0.01929122824723361","0.01929122824723361","0.01929122824723361"
"173","54321","54321","54321","0.01903666356053548","0.01903666356053548","0.01903666356053548"
"174","54635","54635","54635","0.018782752820878632","0.018782752820878632","0.018782752820878632"
