"Step","mobilenet_Task LR_0.2_Friday_14_March_2025_20h_11m_20s - Train/loss","mobilenet_Task LR_0.2_Friday_14_March_2025_20h_11m_20s - Train/loss__MIN","mobilenet_Task LR_0.2_Friday_14_March_2025_20h_11m_20s - Train/loss__MAX","mobilenet_Task LR_0.01_Friday_14_March_2025_19h_08m_28s - Train/loss","mobilenet_Task LR_0.01_Friday_14_March_2025_19h_08m_28s - Train/loss__MIN","mobilenet_Task LR_0.01_Friday_14_March_2025_19h_08m_28s - Train/loss__MAX","mobilenet_Task LR_0.05_Friday_14_March_2025_18h_50m_38s - Train/loss","mobilenet_Task LR_0.05_Friday_14_March_2025_18h_50m_38s - Train/loss__MIN","mobilenet_Task LR_0.05_Friday_14_March_2025_18h_50m_38s - Train/loss__MAX"
"112","4.198802471160889","4.198802471160889","4.198802471160889","4.430649757385254","4.430649757385254","4.430649757385254","4.076136112213135","4.076136112213135","4.076136112213135"
"113","4.075728416442871","4.075728416442871","4.075728416442871","4.396193027496338","4.396193027496338","4.396193027496338","4.300940990447998","4.300940990447998","4.300940990447998"
"114","4.119368076324463","4.119368076324463","4.119368076324463","4.326771259307861","4.326771259307861","4.326771259307861","4.141777515411377","4.141777515411377","4.141777515411377"
"115","4.234556198120117","4.234556198120117","4.234556198120117","4.369153022766113","4.369153022766113","4.369153022766113","4.141279220581055","4.141279220581055","4.141279220581055"
"116","4.18532657623291","4.18532657623291","4.18532657623291","4.304514408111572","4.304514408111572","4.304514408111572","4.088260650634766","4.088260650634766","4.088260650634766"
"117","4.229973316192627","4.229973316192627","4.229973316192627","4.456944942474365","4.456944942474365","4.456944942474365","4.246436595916748","4.246436595916748","4.246436595916748"
"118","4.027525424957275","4.027525424957275","4.027525424957275","4.402833938598633","4.402833938598633","4.402833938598633","4.0350422859191895","4.0350422859191895","4.0350422859191895"
"119","4.0196533203125","4.0196533203125","4.0196533203125","4.2321600914001465","4.2321600914001465","4.2321600914001465","4.16953182220459","4.16953182220459","4.16953182220459"
"120","4.19934606552124","4.19934606552124","4.19934606552124","4.2961106300354","4.2961106300354","4.2961106300354","4.144365310668945","4.144365310668945","4.144365310668945"
"121","4.07405948638916","4.07405948638916","4.07405948638916","4.35155725479126","4.35155725479126","4.35155725479126","4.238261699676514","4.238261699676514","4.238261699676514"
"122","4.020762920379639","4.020762920379639","4.020762920379639","4.349264144897461","4.349264144897461","4.349264144897461","4.246556282043457","4.246556282043457","4.246556282043457"
"123","4.084964752197266","4.084964752197266","4.084964752197266","4.320671081542969","4.320671081542969","4.320671081542969","4.3528923988342285","4.3528923988342285","4.3528923988342285"
"124","4.0729804039001465","4.0729804039001465","4.0729804039001465","4.323268413543701","4.323268413543701","4.323268413543701","4.174075126647949","4.174075126647949","4.174075126647949"
"125","4.0090250968933105","4.0090250968933105","4.0090250968933105","4.349203586578369","4.349203586578369","4.349203586578369","4.166500568389893","4.166500568389893","4.166500568389893"
"126","3.997406244277954","3.997406244277954","3.997406244277954","4.3491740226745605","4.3491740226745605","4.3491740226745605","4.162753105163574","4.162753105163574","4.162753105163574"
"127","4.061305046081543","4.061305046081543","4.061305046081543","4.449265003204346","4.449265003204346","4.449265003204346","4.11439323425293","4.11439323425293","4.11439323425293"
"128","4.095943450927734","4.095943450927734","4.095943450927734","4.425288677215576","4.425288677215576","4.425288677215576","4.1108198165893555","4.1108198165893555","4.1108198165893555"
"129","4.008185863494873","4.008185863494873","4.008185863494873","4.304643154144287","4.304643154144287","4.304643154144287","4.109431266784668","4.109431266784668","4.109431266784668"
"130","4.132630825042725","4.132630825042725","4.132630825042725","4.181630611419678","4.181630611419678","4.181630611419678","4.054121971130371","4.054121971130371","4.054121971130371"
"131","4.038458347320557","4.038458347320557","4.038458347320557","4.351657867431641","4.351657867431641","4.351657867431641","4.0101399421691895","4.0101399421691895","4.0101399421691895"
"132","4.0062947273254395","4.0062947273254395","4.0062947273254395","4.402069091796875","4.402069091796875","4.402069091796875","4.135879039764404","4.135879039764404","4.135879039764404"
"133","4.091445446014404","4.091445446014404","4.091445446014404","4.309757232666016","4.309757232666016","4.309757232666016","4.17792272567749","4.17792272567749","4.17792272567749"
"134","3.952423334121704","3.952423334121704","3.952423334121704","4.411610126495361","4.411610126495361","4.411610126495361","4.141674041748047","4.141674041748047","4.141674041748047"
"135","3.992669105529785","3.992669105529785","3.992669105529785","4.377455234527588","4.377455234527588","4.377455234527588","3.946347236633301","3.946347236633301","3.946347236633301"
"136","3.968827486038208","3.968827486038208","3.968827486038208","4.282556533813477","4.282556533813477","4.282556533813477","4.022507190704346","4.022507190704346","4.022507190704346"
"137","4.141259670257568","4.141259670257568","4.141259670257568","4.342585563659668","4.342585563659668","4.342585563659668","4.061869144439697","4.061869144439697","4.061869144439697"
"138","4.183212757110596","4.183212757110596","4.183212757110596","4.257882595062256","4.257882595062256","4.257882595062256","4.291575908660889","4.291575908660889","4.291575908660889"
"139","4.114023685455322","4.114023685455322","4.114023685455322","4.224871635437012","4.224871635437012","4.224871635437012","4.1346893310546875","4.1346893310546875","4.1346893310546875"
"140","4.006219863891602","4.006219863891602","4.006219863891602","4.331261157989502","4.331261157989502","4.331261157989502","3.957380771636963","3.957380771636963","3.957380771636963"
"141","3.8453421592712402","3.8453421592712402","3.8453421592712402","4.299816131591797","4.299816131591797","4.299816131591797","4.067358493804932","4.067358493804932","4.067358493804932"
"142","4.068647861480713","4.068647861480713","4.068647861480713","4.259427547454834","4.259427547454834","4.259427547454834","4.109827518463135","4.109827518463135","4.109827518463135"
"143","4.177780628204346","4.177780628204346","4.177780628204346","4.2510457038879395","4.2510457038879395","4.2510457038879395","4.130549430847168","4.130549430847168","4.130549430847168"
"144","4.175390720367432","4.175390720367432","4.175390720367432","4.361849784851074","4.361849784851074","4.361849784851074","3.974989891052246","3.974989891052246","3.974989891052246"
"145","4.194760322570801","4.194760322570801","4.194760322570801","4.186317443847656","4.186317443847656","4.186317443847656","4.3826003074646","4.3826003074646","4.3826003074646"
"146","4.001369476318359","4.001369476318359","4.001369476318359","4.188431739807129","4.188431739807129","4.188431739807129","4.1174750328063965","4.1174750328063965","4.1174750328063965"
"147","4.04305362701416","4.04305362701416","4.04305362701416","4.157058238983154","4.157058238983154","4.157058238983154","4.187585830688477","4.187585830688477","4.187585830688477"
"148","4.14005184173584","4.14005184173584","4.14005184173584","4.257087230682373","4.257087230682373","4.257087230682373","4.037924289703369","4.037924289703369","4.037924289703369"
"149","4.062553882598877","4.062553882598877","4.062553882598877","4.098538398742676","4.098538398742676","4.098538398742676","3.976611614227295","3.976611614227295","3.976611614227295"
"150","4.10441255569458","4.10441255569458","4.10441255569458","4.193626880645752","4.193626880645752","4.193626880645752","4.139121055603027","4.139121055603027","4.139121055603027"
"151","4.1470866203308105","4.1470866203308105","4.1470866203308105","4.245857238769531","4.245857238769531","4.245857238769531","4.050019264221191","4.050019264221191","4.050019264221191"
"152","4.127320289611816","4.127320289611816","4.127320289611816","4.388577461242676","4.388577461242676","4.388577461242676","4.039502143859863","4.039502143859863","4.039502143859863"
"153","3.9685707092285156","3.9685707092285156","3.9685707092285156","4.1053900718688965","4.1053900718688965","4.1053900718688965","4.033103942871094","4.033103942871094","4.033103942871094"
"154","4.003525733947754","4.003525733947754","4.003525733947754","4.168516635894775","4.168516635894775","4.168516635894775","4.124711036682129","4.124711036682129","4.124711036682129"
"155","4.063044548034668","4.063044548034668","4.063044548034668","4.273491382598877","4.273491382598877","4.273491382598877","4.204708576202393","4.204708576202393","4.204708576202393"
"156","4.078656196594238","4.078656196594238","4.078656196594238","4.219078063964844","4.219078063964844","4.219078063964844","4.2233381271362305","4.2233381271362305","4.2233381271362305"
"157","4.0972900390625","4.0972900390625","4.0972900390625","4.287936210632324","4.287936210632324","4.287936210632324","4.0710577964782715","4.0710577964782715","4.0710577964782715"
"158","4.092016220092773","4.092016220092773","4.092016220092773","4.1723952293396","4.1723952293396","4.1723952293396","4.076905727386475","4.076905727386475","4.076905727386475"
"159","4.169800281524658","4.169800281524658","4.169800281524658","4.268804550170898","4.268804550170898","4.268804550170898","4.109178066253662","4.109178066253662","4.109178066253662"
"160","3.9688353538513184","3.9688353538513184","3.9688353538513184","4.213716506958008","4.213716506958008","4.213716506958008","4.14052152633667","4.14052152633667","4.14052152633667"
