"Step","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss__MIN","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss__MAX","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss__MIN","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss__MAX"
"359","","","","3.741607904434204","3.741607904434204","3.741607904434204"
"366","","","","3.6691596508026123","3.6691596508026123","3.6691596508026123"
"370","","","","3.7054669857025146","3.7054669857025146","3.7054669857025146"
"373","3.798569679260254","3.798569679260254","3.798569679260254","","",""
"379","3.6692121028900146","3.6692121028900146","3.6692121028900146","","",""
"383","3.7551980018615723","3.7551980018615723","3.7551980018615723","","",""
"384","3.8145833015441895","3.8145833015441895","3.8145833015441895","","",""
"386","3.8062212467193604","3.8062212467193604","3.8062212467193604","","",""
"390","","","","3.8313963413238525","3.8313963413238525","3.8313963413238525"
"395","","","","3.6421375274658203","3.6421375274658203","3.6421375274658203"
"403","3.6526827812194824","3.6526827812194824","3.6526827812194824","","",""
"406","3.73024582862854","3.73024582862854","3.73024582862854","","",""
"410","","","","3.521972894668579","3.521972894668579","3.521972894668579"
"421","","","","3.6223220825195312","3.6223220825195312","3.6223220825195312"
"422","3.5705673694610596","3.5705673694610596","3.5705673694610596","","",""
"423","3.5239429473876953","3.5239429473876953","3.5239429473876953","","",""
"426","3.6389291286468506","3.6389291286468506","3.6389291286468506","","",""
"427","","","","3.681769847869873","3.681769847869873","3.681769847869873"
"437","","","","3.5113162994384766","3.5113162994384766","3.5113162994384766"
"438","","","","3.6726202964782715","3.6726202964782715","3.6726202964782715"
"456","3.6644680500030518","3.6644680500030518","3.6644680500030518","3.6510937213897705","3.6510937213897705","3.6510937213897705"
"457","3.5971546173095703","3.5971546173095703","3.5971546173095703","","",""
"462","","","","3.5878329277038574","3.5878329277038574","3.5878329277038574"
"468","3.590047836303711","3.590047836303711","3.590047836303711","","",""
"472","","","","3.5995712280273438","3.5995712280273438","3.5995712280273438"
"480","","","","3.752624988555908","3.752624988555908","3.752624988555908"
"482","3.5786826610565186","3.5786826610565186","3.5786826610565186","","",""
"486","3.5987658500671387","3.5987658500671387","3.5987658500671387","","",""
"487","","","","3.6867761611938477","3.6867761611938477","3.6867761611938477"
"488","","","","3.4044876098632812","3.4044876098632812","3.4044876098632812"
"489","3.631016969680786","3.631016969680786","3.631016969680786","","",""
"491","3.742759943008423","3.742759943008423","3.742759943008423","3.687868595123291","3.687868595123291","3.687868595123291"
"504","3.576453924179077","3.576453924179077","3.576453924179077","","",""
"505","3.568608283996582","3.568608283996582","3.568608283996582","","",""
"509","","","","3.597485065460205","3.597485065460205","3.597485065460205"
"511","3.556673288345337","3.556673288345337","3.556673288345337","","",""
"514","3.3831419944763184","3.3831419944763184","3.3831419944763184","","",""
"519","3.6289143562316895","3.6289143562316895","3.6289143562316895","","",""
"520","3.6555824279785156","3.6555824279785156","3.6555824279785156","","",""
"524","3.778312921524048","3.778312921524048","3.778312921524048","3.5007410049438477","3.5007410049438477","3.5007410049438477"
"544","3.6075031757354736","3.6075031757354736","3.6075031757354736","","",""
"547","","","","3.460063934326172","3.460063934326172","3.460063934326172"
"548","3.3578295707702637","3.3578295707702637","3.3578295707702637","3.6028082370758057","3.6028082370758057","3.6028082370758057"
"551","3.4116568565368652","3.4116568565368652","3.4116568565368652","","",""
"571","3.4059884548187256","3.4059884548187256","3.4059884548187256","","",""
"575","","","","3.4656460285186768","3.4656460285186768","3.4656460285186768"
"579","3.48134183883667","3.48134183883667","3.48134183883667","","",""
"581","3.8020830154418945","3.8020830154418945","3.8020830154418945","","",""
"582","","","","3.3460922241210938","3.3460922241210938","3.3460922241210938"
"585","3.4541330337524414","3.4541330337524414","3.4541330337524414","","",""
"587","","","","3.6744117736816406","3.6744117736816406","3.6744117736816406"
"589","","","","3.4629998207092285","3.4629998207092285","3.4629998207092285"
"617","3.363001823425293","3.363001823425293","3.363001823425293","","",""
"634","","","","3.3832857608795166","3.3832857608795166","3.3832857608795166"
"635","","","","3.4655275344848633","3.4655275344848633","3.4655275344848633"
"638","3.4513065814971924","3.4513065814971924","3.4513065814971924","","",""
"641","","","","3.408207893371582","3.408207893371582","3.408207893371582"
"642","3.427389621734619","3.427389621734619","3.427389621734619","","",""
"645","3.5445470809936523","3.5445470809936523","3.5445470809936523","","",""
"649","3.4453160762786865","3.4453160762786865","3.4453160762786865","","",""
"664","3.5421810150146484","3.5421810150146484","3.5421810150146484","","",""
"670","","","","3.3116989135742188","3.3116989135742188","3.3116989135742188"
"675","3.2646350860595703","3.2646350860595703","3.2646350860595703","","",""
"677","3.393913984298706","3.393913984298706","3.393913984298706","","",""
"679","","","","3.43575382232666","3.43575382232666","3.43575382232666"
"680","","","","3.503101110458374","3.503101110458374","3.503101110458374"
"685","","","","3.4225339889526367","3.4225339889526367","3.4225339889526367"
"687","","","","3.6149566173553467","3.6149566173553467","3.6149566173553467"
"689","3.13059139251709","3.13059139251709","3.13059139251709","","",""
"694","3.5567777156829834","3.5567777156829834","3.5567777156829834","","",""
"698","","","","3.324251174926758","3.324251174926758","3.324251174926758"
"704","","","","3.355907440185547","3.355907440185547","3.355907440185547"
"707","","","","3.1821377277374268","3.1821377277374268","3.1821377277374268"
"708","3.357424736022949","3.357424736022949","3.357424736022949","","",""
"709","3.4642839431762695","3.4642839431762695","3.4642839431762695","","",""
"710","","","","3.4863548278808594","3.4863548278808594","3.4863548278808594"
"711","","","","3.2459070682525635","3.2459070682525635","3.2459070682525635"
"712","3.599943161010742","3.599943161010742","3.599943161010742","","",""
"713","3.359827756881714","3.359827756881714","3.359827756881714","","",""
"720","3.205199718475342","3.205199718475342","3.205199718475342","","",""
"727","","","","3.4944567680358887","3.4944567680358887","3.4944567680358887"
"735","","","","3.497140884399414","3.497140884399414","3.497140884399414"
"738","3.195873498916626","3.195873498916626","3.195873498916626","","",""
"740","","","","3.7665374279022217","3.7665374279022217","3.7665374279022217"
"741","","","","3.1997714042663574","3.1997714042663574","3.1997714042663574"
"743","","","","3.546644926071167","3.546644926071167","3.546644926071167"
"744","3.233949661254883","3.233949661254883","3.233949661254883","","",""
"748","","","","3.311507225036621","3.311507225036621","3.311507225036621"
"751","","","","3.5487489700317383","3.5487489700317383","3.5487489700317383"
"756","","","","3.5142948627471924","3.5142948627471924","3.5142948627471924"
"763","3.4753317832946777","3.4753317832946777","3.4753317832946777","","",""
"766","3.2807812690734863","3.2807812690734863","3.2807812690734863","","",""
"774","3.1953439712524414","3.1953439712524414","3.1953439712524414","","",""
"776","","","","3.4114272594451904","3.4114272594451904","3.4114272594451904"
"777","","","","3.3061580657958984","3.3061580657958984","3.3061580657958984"
"781","3.4874579906463623","3.4874579906463623","3.4874579906463623","","",""
"783","3.265972375869751","3.265972375869751","3.265972375869751","","",""
"785","3.328439235687256","3.328439235687256","3.328439235687256","","",""
"789","","","","3.4680533409118652","3.4680533409118652","3.4680533409118652"
"804","","","","3.376655340194702","3.376655340194702","3.376655340194702"
"806","3.3340742588043213","3.3340742588043213","3.3340742588043213","","",""
"807","3.3203914165496826","3.3203914165496826","3.3203914165496826","","",""
"825","3.2662241458892822","3.2662241458892822","3.2662241458892822","","",""
"828","3.1301379203796387","3.1301379203796387","3.1301379203796387","","",""
"834","","","","3.351302146911621","3.351302146911621","3.351302146911621"
"835","3.3378405570983887","3.3378405570983887","3.3378405570983887","","",""
"838","","","","3.3502895832061768","3.3502895832061768","3.3502895832061768"
"842","3.0872230529785156","3.0872230529785156","3.0872230529785156","","",""
"848","3.4299726486206055","3.4299726486206055","3.4299726486206055","","",""
"863","3.2241129875183105","3.2241129875183105","3.2241129875183105","","",""
"866","3.2903764247894287","3.2903764247894287","3.2903764247894287","","",""
"867","","","","3.198728084564209","3.198728084564209","3.198728084564209"
"873","3.4031822681427","3.4031822681427","3.4031822681427","","",""
"876","","","","3.4140303134918213","3.4140303134918213","3.4140303134918213"
"879","3.208366632461548","3.208366632461548","3.208366632461548","3.2593002319335938","3.2593002319335938","3.2593002319335938"
"888","","","","3.5310215950012207","3.5310215950012207","3.5310215950012207"
"891","","","","3.445180892944336","3.445180892944336","3.445180892944336"
"898","","","","3.198526382446289","3.198526382446289","3.198526382446289"
"899","","","","3.173048734664917","3.173048734664917","3.173048734664917"
"906","3.4820871353149414","3.4820871353149414","3.4820871353149414","","",""
"911","","","","3.257314443588257","3.257314443588257","3.257314443588257"
"919","3.1419034004211426","3.1419034004211426","3.1419034004211426","","",""
"926","","","","3.2360002994537354","3.2360002994537354","3.2360002994537354"
"933","","","","3.4356791973114014","3.4356791973114014","3.4356791973114014"
"942","3.2104601860046387","3.2104601860046387","3.2104601860046387","","",""
"946","3.2107436656951904","3.2107436656951904","3.2107436656951904","","",""
"948","2.8918066024780273","2.8918066024780273","2.8918066024780273","","",""
"950","","","","3.2636873722076416","3.2636873722076416","3.2636873722076416"
"956","","","","3.374887466430664","3.374887466430664","3.374887466430664"
"960","","","","3.2508983612060547","3.2508983612060547","3.2508983612060547"
"961","","","","3.18377685546875","3.18377685546875","3.18377685546875"
"976","3.2741777896881104","3.2741777896881104","3.2741777896881104","","",""
"977","","","","2.9852499961853027","2.9852499961853027","2.9852499961853027"
"978","2.8890347480773926","2.8890347480773926","2.8890347480773926","","",""
"980","","","","3.0773556232452393","3.0773556232452393","3.0773556232452393"
"988","3.187349557876587","3.187349557876587","3.187349557876587","","",""
"995","","","","3.28373646736145","3.28373646736145","3.28373646736145"
"997","3.1345038414001465","3.1345038414001465","3.1345038414001465","","",""
"999","3.3476107120513916","3.3476107120513916","3.3476107120513916","","",""
"1009","","","","3.348541736602783","3.348541736602783","3.348541736602783"
"1014","","","","3.203559398651123","3.203559398651123","3.203559398651123"
"1020","3.2002127170562744","3.2002127170562744","3.2002127170562744","","",""
"1024","","","","3.2074196338653564","3.2074196338653564","3.2074196338653564"
"1030","3.1597392559051514","3.1597392559051514","3.1597392559051514","3.303331136703491","3.303331136703491","3.303331136703491"
"1035","3.2809898853302","3.2809898853302","3.2809898853302","","",""
"1036","3.2850804328918457","3.2850804328918457","3.2850804328918457","","",""
"1037","","","","3.255535364151001","3.255535364151001","3.255535364151001"
"1039","3.1863760948181152","3.1863760948181152","3.1863760948181152","3.200625419616699","3.200625419616699","3.200625419616699"
"1044","3.3096046447753906","3.3096046447753906","3.3096046447753906","","",""
"1050","3.1517927646636963","3.1517927646636963","3.1517927646636963","","",""
"1066","","","","3.413461685180664","3.413461685180664","3.413461685180664"
"1068","3.064368486404419","3.064368486404419","3.064368486404419","","",""
"1069","3.087331771850586","3.087331771850586","3.087331771850586","","",""
"1071","","","","3.191119909286499","3.191119909286499","3.191119909286499"
"1078","3.086733818054199","3.086733818054199","3.086733818054199","","",""
"1093","3.114067554473877","3.114067554473877","3.114067554473877","","",""
"1095","2.8330953121185303","2.8330953121185303","2.8330953121185303","3.0130741596221924","3.0130741596221924","3.0130741596221924"
"1100","2.9863734245300293","2.9863734245300293","2.9863734245300293","","",""
"1101","2.803659439086914","2.803659439086914","2.803659439086914","","",""
"1104","","","","3.2041983604431152","3.2041983604431152","3.2041983604431152"
"1110","","","","3.2233755588531494","3.2233755588531494","3.2233755588531494"
"1118","","","","3.20671010017395","3.20671010017395","3.20671010017395"
"1119","3.094480514526367","3.094480514526367","3.094480514526367","","",""
"1120","3.0660171508789062","3.0660171508789062","3.0660171508789062","","",""
"1125","3.148494243621826","3.148494243621826","3.148494243621826","","",""
