"epoch","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MAX","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss__MAX"
"82","51194.177777777775","50870","51488","1.0673084325260587","0.6043136119842529","1.3603472709655762","51184.76190476191","50868","51484","1.2030787098975408","0.979004442691803","1.3968364000320435"
"83","51791.9","51510","52114","1.0976783707737923","0.7440488338470459","1.3828691244125366","51798.514285714286","51516","52114","1.237146850994655","1.0836073160171509","1.4869756698608398"
"84","52402.71428571428","52168","52738","1.102512966309275","0.8819980621337891","1.3077205419540405","52478.416666666664","52130","52746","1.2021941045920055","0.8772715330123901","1.4470176696777344"
"85","53045.230769230766","52762","53362","1.0732456972965827","0.769094705581665","1.272850513458252","53038.967741935485","52758","53342","1.167697629620952","0.9242080450057983","1.56681227684021"
"86","53688.34146341463","53404","53982","1.0664638135491349","0.7647024393081665","1.4292144775390625","53673.89743589744","53380","53998","1.1462811460861793","0.9077416658401489","1.3862683773040771"
"87","54289.84210526316","54036","54620","1.0324267321511318","0.8692797422409058","1.2438446283340454","54341","54022","54614","1.1803762664397557","0.9461799263954163","1.3835467100143433"
"88","54971.47826086957","54638","55216","1.044023379035618","0.8169981837272644","1.2593508958816528","54944","54658","55248","1.1585186156961653","0.9407757520675659","1.399766445159912"
"89","55548.42424242424","55266","55872","1.0566215605446787","0.7153279781341553","1.3481277227401733","55514.42857142857","55282","55884","1.1201862756695067","0.8889972567558289","1.3000879287719727"
"90","56191.37142857143","55894","56514","0.9814070190702165","0.7424711585044861","1.3350170850753784","56155.11111111111","55906","56466","1.1309962719678879","0.8982129693031311","1.3833845853805542"
"91","56799.58620689655","56520","57124","0.9777544819075485","0.7669443488121033","1.4017374515533447","56827.92857142857","56534","57126","1.1048627878938402","0.7610659599304199","1.3498672246932983"
