"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss__MAX"
"53","16542.375","16400","16683","1.2531616389751434","1.0666884183883667","1.4749157428741455","16528.542857142857","16381","16687","0.4069900018828256","0.2599881589412689","0.6021697521209717"
"54","16831.37837837838","16701","16990","1.2314561347703676","1.0154577493667603","1.4198527336120605","16833.85714285714","16701","17004","0.36070253380707334","0.20994669198989868","0.48268601298332214"
"55","17164.75","17011","17309","1.2460037635432348","0.9449408054351807","1.4589134454727173","17163.628571428573","17022","17317","0.37873121798038484","0.221180722117424","0.5783553719520569"
"56","17479.966666666667","17336","17622","1.2490858674049377","0.9913562536239624","1.4750299453735352","17492.11111111111","17334","17619","0.35839497325596986","0.18782253563404083","0.5105092525482178"
"57","17800.682926829268","17648","17929","1.2367078720069513","0.9801419377326965","1.6825886964797974","17798.51219512195","17666","17941","0.346659746838779","0.19675065577030182","0.5605206489562988"
"58","18101.942857142858","17967","18266","1.1890096034322466","0.9186856746673584","1.6673448085784912","18105.666666666668","17958","18252","0.33994171478682095","0.20929551124572754","0.48055437207221985"
"59","18424.14285714286","18276","18580","1.2281573521239417","0.9090756773948669","1.4466396570205688","18426.945945945947","18275","18578","0.34910783614661245","0.19647011160850525","0.5251529216766357"
"60","18715.39024390244","18587","18884","1.2017610625522892","0.9344353079795837","1.4972732067108154","18747.815789473683","18589","18891","0.3088313337219389","0.18918809294700623","0.5309401750564575"
"61","19040.386363636364","18915","19202","1.208357965404337","0.9359865188598633","1.613280177116394","19039.823529411766","18913","19200","0.28878219732466864","0.15142741799354553","0.44549787044525146"
"62","19380.371428571427","19218","19517","1.168165865966252","0.9038069844245911","1.5530658960342407","19385.74074074074","19224","19514","0.3092831086229395","0.17920143902301788","0.418501615524292"
